DRUGBANK_ID,SMILES,MW,RBN,nCIC,nHAcc,nHDon,ALogP,TPSA
DB06736,OC(=O)COC(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl,354.18,7,2,4,2,4.88,75.63
DB06742,NC1=C(Br)C=C(Br)C=C1CN[C@H]1CC[C@H](O)CC1,378.108,3,2,3,3,3.72,58.28
DB06751,CCOC1=C(OCC)C=C(\C=C2/NCCC3=CC(OCC)=C(OCC)C=C23)C=C1,397.507,9,3,5,1,5.35,48.95
DB06762,CC(N\C(NC#N)=N\C1=CC=NC=C1)C(C)(C)C,245.33,3,1,5,2,2.3,73.1
DB06764,C1CN=C(N1)C1CCCC2=CC=CC=C12,200.285,1,3,2,1,3.11,24.39
DB06766,CN1CCC(CC1)=C1C2=NC=C(C=O)N2CCC2=CC=CC=C12,307.389,1,4,3,0,2.09,38.13
DB06769,CN1C(CCCC(O)=O)=NC2=CC(=CC=C12)N(CCCl)CCCl,358.263,9,2,4,1,3.07,58.36
DB06771,N[C@@H]1CCCCN(C1)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1Cl)C(O)=O,393.84,3,4,6,2,0.7,86.87
DB06774,COC1=C(O)C=CC(CNC(=O)CCCC\C=C\C(C)C)=C1,305.412,9,1,3,2,3.8,58.56
DB06777,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(O)=O,392.572,4,4,4,3,3.01,77.76
DB06780,[H][C@@]12CC[C@H](C(=O)COC(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,372.505,4,4,3,0,3.09,60.44
DB06786,[H][C@@]12C[C@H]3OC(C)(C)O[C@@]3(C(=O)CCl)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)CC[C@]12C,454.96,2,5,5,1,3.31,72.83
DB06794,OC(=O)C(=O)NC1=CC(=CC(NC(=O)C(O)=O)=C1Cl)C#N,311.63,4,1,7,4,0.72,156.59
DB06797,CCC(C)C(C)(COC(N)=O)COC(N)=O,232.277,8,0,2,2,1.23,104.64
DB06802,NC(=O)CC1=CC=CC(C(=O)C2=CC=CC=C2)=C1N,254.284,4,2,3,2,1.53,86.18
DB06803,OC1=C(C=C(Cl)C=C1)C(=O)NC1=C(Cl)C=C(C=C1)[N+]([O-])=O,327.12,3,2,4,2,4.49,95.15
DB06807,NC1=CC(O)=C(C=C1)C(=O)OC1=CC=CC=C1,229.235,3,2,3,2,3.03,72.55
DB06813,NC1=NC2=NC=C(CC(CC#C)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N=C2C(N)=N1,477.473,10,3,11,5,0.1,207.3
